country,birth_rate,death_rate,life_exp_at_birth,country_code,gdp_per_capita,country_original,continent
Russia,11.87,13.83,70.16,RUS,26057.15531,Russia,EUROPE
Canada,10.29,8.31,81.67,CAN,47564.60911,Canada,NORTH AMERICA
United States,13.42,8.15,79.56,USA,57213.26784,United States,NORTH AMERICA
China,12.17,7.44,75.15,CHN,11917.3385,China,ASIA
Brazil,14.72,6.54,73.28,BRA,15749.51216,Brazil,SOUTH AMERICA
Australia,12.19,7.07,82.07,AUS,47289.96461,Australia,OCEANIA
India,19.89,7.35,67.8,IND,5116.629105,India,ASIA
Argentina,16.88,7.34,77.51,ARG,23550.09906,Argentina,SOUTH AMERICA
Kazakhstan,19.61,8.31,70.24,KAZ,24355.75612,Kazakhstan,EUROPE
Algeria,23.99,4.31,76.39,DZA,11512.70511,Algeria,AFRICA
"Congo, Democratic Republic of the",35.62,10.3,56.54,COD,1029.790813,Dem. Rep. Congo,AFRICA
Greenland,14.53,8.38,71.82,GRL,50485.22,Greenland,NORTH AMERICA
Saudi Arabia,18.78,3.32,74.82,SAU,48209.13733,Saudi Arabia,ASIA
Mexico,19.02,5.24,75.43,MEX,18887.56744,Mexico,NORTH AMERICA
Indonesia,17.04,6.34,72.17,IDN,9801.166283,Indonesia,ASIA
Sudan,30.01,7.87,63.32,SDN,4124.509614,Sudan,AFRICA
Libya,18.4,3.57,76.04,LBY,12201.20468,Libya,AFRICA
Iran,18.23,5.94,70.89,IRN,13038.55506,Iran,ASIA
Mongolia,20.88,6.38,68.98,MNG,10980.324,Mongolia,ASIA
Peru,18.57,5.99,73.23,PER,11877.07893,Peru,SOUTH AMERICA
Chad,37.29,14.56,49.44,TCD,1866.266079,Chad,AFRICA
Niger,46.12,12.73,54.74,NER,1127.614075,Niger,AFRICA
Angola,38.97,11.67,55.29,AGO,8239.830672,Angola,AFRICA
Mali,45.53,13.22,54.95,MLI,2075.400681,Mali,AFRICA
South Africa,18.94,17.49,49.56,ZAF,12884.4846,South Africa,AFRICA
Colombia,16.73,5.36,75.25,COL,13852.24205,Colombia,SOUTH AMERICA
Ethiopia,37.66,8.52,60.75,ETH,1656.634489,Ethiopia,AFRICA
Bolivia,23.28,6.59,68.55,BOL,7730.638402,Bolivia,SOUTH AMERICA
Mauritania,31.83,8.35,62.28,MRT,5008.688256,Mauritania,AFRICA
Egypt,23.35,4.77,73.45,EGY,10353.6668,Egypt,AFRICA
Tanzania,36.82,8.2,61.24,TZA,2284.961757,Tanzania,AFRICA
Nigeria,38.03,13.16,52.62,NGA,5516.385598,Nigeria,AFRICA
Venezuela,19.42,5.27,74.39,VEN,15976,Venezuela,SOUTH AMERICA
Namibia,20.28,13.6,51.85,NAM,10413.31422,Namibia,AFRICA
